date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:51	23297/23297	---M-Z	200	added ('OK')	text/html	etag:%2265859dd11aa4d8fa5869020f70e19fbf-ssl-df%22	http://daniels.bitballoon.com/particles.html	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/particles.html	(from )
01:39:52	96/96	---M-Z	404	error ('Not%20Found')	text/html	etag:1523607646-ssl-df	http://daniels.bitballoon.com/robots.txt		(from )
01:39:53	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22baa509558b0a19c89b12ae4fe7d73bad-ssl%22	http://daniels.bitballoon.com/img/favicon.ico	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/favicon.ico	(from http://daniels.bitballoon.com/particles.html)
01:39:53	3228/3228	---M-Z	200	added ('OK')	text/css	etag:%2286799a26178d2a1a383c56a28730c19f-ssl-df%22	http://daniels.bitballoon.com/css/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/owl.carousel.min.css	(from http://daniels.bitballoon.com/particles.html)
01:39:53	1003/1003	---M-Z	200	added ('OK')	text/css	etag:%22899612105b8b1c2cd3667295e9a24912-ssl-df%22	http://daniels.bitballoon.com/css/owl.theme.default.min.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/owl.theme.default.min.css	(from http://daniels.bitballoon.com/particles.html)
01:39:54	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%2275def7660b196ba724b6ef9828b0eab2-ssl-df%22	http://daniels.bitballoon.com/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/bootstrap.min.css	(from http://daniels.bitballoon.com/particles.html)
01:39:54	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%2284f63e93cd9e99f1442ee1c70e881200-ssl-df%22	http://daniels.bitballoon.com/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/magnific-popup.css	(from http://daniels.bitballoon.com/particles.html)
01:39:54	16952/16952	---M-Z	200	added ('OK')	text/css	etag:%22b919cbcdbad3f0170d564915ff5159fe-ssl-df%22	http://daniels.bitballoon.com/css/animate.min.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/animate.min.css	(from http://daniels.bitballoon.com/particles.html)
01:39:54	7067/7067	---M-Z	200	added ('OK')	text/css	etag:%222d5fa5f3ce558e68a91c3c4f4d0ab265-ssl-df%22	http://daniels.bitballoon.com/css/et-line.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/et-line.css	(from http://daniels.bitballoon.com/particles.html)
01:39:55	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%22f39f5a728c417e85499ac1451e48241d-ssl-df%22	http://daniels.bitballoon.com/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/font-awesome.min.css	(from http://daniels.bitballoon.com/particles.html)
01:39:55	14954/14954	---M-Z	200	added ('OK')	text/css	etag:%22cac2ae1903d5da691e1a5abde20951c4-ssl-df%22	http://daniels.bitballoon.com/css/style.css	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/css/style.css	(from http://daniels.bitballoon.com/particles.html)
01:39:55	2730/2730	---M-Z	200	added ('OK')	application/javascript	etag:%224fc3dc062191af900ab55b9e719331e4-ssl-df%22	http://daniels.bitballoon.com/js/html5shiv.min.js	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/js/html5shiv.min.js	(from http://daniels.bitballoon.com/particles.html)
01:40:00	4954/4954	---M--	200	added ('OK')	image/jpeg	etag:%2275d617b609e2850e6650ce62013f147c-ssl%22	http://daniels.bitballoon.com/img/portfolio/1.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/portfolio/1.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:02	12506/12506	---M--	200	added ('OK')	image/jpeg	etag:%220af6f77a1d55defefe4c26fce194f906-ssl%22	http://daniels.bitballoon.com/img/portfolio/2.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/portfolio/2.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:04	14044/14044	---M--	200	added ('OK')	image/jpeg	etag:%2203e15d4be47f7512fdb28f85e8af732d-ssl%22	http://daniels.bitballoon.com/img/portfolio/3.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/portfolio/3.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:05	12123/12123	---M--	200	added ('OK')	image/jpeg	etag:%2267d4fa738e0189524cd5bf9e8a79cc46-ssl%22	http://daniels.bitballoon.com/img/portfolio/4.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/portfolio/4.jpg	(from http://daniels.bitballoon.com/particles.html)
01:40:07	17136/17136	---M--	200	added ('OK')	image/jpeg	etag:%22e265af396805213c2331a7756b74c2e0-ssl%22	http://daniels.bitballoon.com/img/portfolio/5.jpg	C:/My%20Web%20Sites/portfolio/daniels.bitballoon.com/img/portfolio/5.jpg	(from http://daniels.bitballoon.com/particles.html)
